Pipeline_Name,Layer,Engine,Status,Duration_Sec,Duration_Formatted,Rows_Read,Rows_Written,Data_Quality_Tests,Tests_Passed,Freshness_Hours,Execution_Date,Error_Message
dag_ingestion_movies_tmdb,Bronze,Airflow + Python,Success,45,00:00:45,9742,9742,8,8,2.2,2026-09-10 17:42:54,
dag_ingestion_ratings_stream,Bronze,Airflow + Kafka,Success,120,00:02:00,100836,100836,12,12,1.8,2026-09-10 17:42:54,
dag_ingestion_tags_raw,Bronze,Airflow + Python,Success,30,00:00:30,3683,3683,6,6,2.5,2026-09-10 17:42:54,
dbt_stg_movies_cleansing,Silver,dbt Core + Postgres,Success,85,00:01:25,9742,9742,15,15,3.0,2026-09-10 17:42:54,
dbt_stg_ratings_dedup,Silver,dbt Core + Postgres,Success,195,00:03:15,100836,100836,20,20,3.1,2026-09-10 17:42:54,
dbt_dim_movie_enrichment,Gold,dbt Core,Success,60,00:01:00,9742,9742,10,10,3.4,2026-09-10 17:42:54,
dbt_fact_ratings_mart,Gold,dbt Core,Success,140,00:02:20,100836,100836,18,18,3.4,2026-09-10 17:42:54,
spark_recommendation_hybrid,Gold / ML,PySpark,Success,310,00:05:10,610,610,14,14,4.0,2026-09-10 17:42:54,
dag_ingestion_movies_tmdb,Bronze,Airflow + Python,Success,45,00:00:45,9742,9742,8,8,2.0,2026-09-11 17:42:54,
dag_ingestion_ratings_stream,Bronze,Airflow + Kafka,Failed,120,00:02:00,100836,100836,12,11,1.6,2026-09-11 17:42:54,Kafka connection timeout: retrying with backoff
dag_ingestion_tags_raw,Bronze,Airflow + Python,Success,30,00:00:30,3683,3683,6,6,2.3,2026-09-11 17:42:54,
dbt_stg_movies_cleansing,Silver,dbt Core + Postgres,Success,85,00:01:25,9742,9742,15,15,2.8,2026-09-11 17:42:54,
dbt_stg_ratings_dedup,Silver,dbt Core + Postgres,Success,195,00:03:15,100836,100836,20,20,2.9000000000000004,2026-09-11 17:42:54,
dbt_dim_movie_enrichment,Gold,dbt Core,Success,60,00:01:00,9742,9742,10,10,3.2,2026-09-11 17:42:54,
dbt_fact_ratings_mart,Gold,dbt Core,Success,140,00:02:20,100836,100836,18,18,3.2,2026-09-11 17:42:54,
spark_recommendation_hybrid,Gold / ML,PySpark,Success,310,00:05:10,610,610,14,14,3.8,2026-09-11 17:42:54,
dag_ingestion_movies_tmdb,Bronze,Airflow + Python,Success,45,00:00:45,9742,9742,8,8,1.8,2026-09-12 17:42:54,
dag_ingestion_ratings_stream,Bronze,Airflow + Kafka,Success,120,00:02:00,100836,100836,12,12,1.4000000000000001,2026-09-12 17:42:54,
dag_ingestion_tags_raw,Bronze,Airflow + Python,Success,30,00:00:30,3683,3683,6,6,2.1,2026-09-12 17:42:54,
dbt_stg_movies_cleansing,Silver,dbt Core + Postgres,Success,85,00:01:25,9742,9742,15,15,2.6,2026-09-12 17:42:54,
dbt_stg_ratings_dedup,Silver,dbt Core + Postgres,Success,195,00:03:15,100836,100836,20,20,2.7,2026-09-12 17:42:54,
dbt_dim_movie_enrichment,Gold,dbt Core,Success,60,00:01:00,9742,9742,10,10,3.0,2026-09-12 17:42:54,
dbt_fact_ratings_mart,Gold,dbt Core,Success,140,00:02:20,100836,100836,18,18,3.0,2026-09-12 17:42:54,
spark_recommendation_hybrid,Gold / ML,PySpark,Success,310,00:05:10,610,610,14,14,3.6,2026-09-12 17:42:54,
dag_ingestion_movies_tmdb,Bronze,Airflow + Python,Success,45,00:00:45,9742,9742,8,8,1.6,2026-09-13 17:42:54,
dag_ingestion_ratings_stream,Bronze,Airflow + Kafka,Success,120,00:02:00,100836,100836,12,12,1.2000000000000002,2026-09-13 17:42:54,
dag_ingestion_tags_raw,Bronze,Airflow + Python,Success,30,00:00:30,3683,3683,6,6,1.9,2026-09-13 17:42:54,
dbt_stg_movies_cleansing,Silver,dbt Core + Postgres,Success,85,00:01:25,9742,9742,15,15,2.4,2026-09-13 17:42:54,
dbt_stg_ratings_dedup,Silver,dbt Core + Postgres,Success,195,00:03:15,100836,100836,20,20,2.5,2026-09-13 17:42:54,
dbt_dim_movie_enrichment,Gold,dbt Core,Success,60,00:01:00,9742,9742,10,10,2.8,2026-09-13 17:42:54,
dbt_fact_ratings_mart,Gold,dbt Core,Success,140,00:02:20,100836,100836,18,18,2.8,2026-09-13 17:42:54,
spark_recommendation_hybrid,Gold / ML,PySpark,Success,310,00:05:10,610,610,14,14,3.4,2026-09-13 17:42:54,
dag_ingestion_movies_tmdb,Bronze,Airflow + Python,Success,45,00:00:45,9742,9742,8,8,1.4,2026-09-14 17:42:54,
dag_ingestion_ratings_stream,Bronze,Airflow + Kafka,Success,120,00:02:00,100836,100836,12,12,1.0,2026-09-14 17:42:54,
dag_ingestion_tags_raw,Bronze,Airflow + Python,Success,30,00:00:30,3683,3683,6,6,1.7,2026-09-14 17:42:54,
dbt_stg_movies_cleansing,Silver,dbt Core + Postgres,Success,85,00:01:25,9742,9742,15,15,2.2,2026-09-14 17:42:54,
dbt_stg_ratings_dedup,Silver,dbt Core + Postgres,Success,195,00:03:15,100836,100836,20,20,2.3000000000000003,2026-09-14 17:42:54,
dbt_dim_movie_enrichment,Gold,dbt Core,Success,60,00:01:00,9742,9742,10,10,2.6,2026-09-14 17:42:54,
dbt_fact_ratings_mart,Gold,dbt Core,Success,140,00:02:20,100836,100836,18,18,2.6,2026-09-14 17:42:54,
spark_recommendation_hybrid,Gold / ML,PySpark,Success,310,00:05:10,610,610,14,14,3.2,2026-09-14 17:42:54,
dag_ingestion_movies_tmdb,Bronze,Airflow + Python,Success,45,00:00:45,9742,9742,8,8,1.2,2026-09-15 17:42:54,
dag_ingestion_ratings_stream,Bronze,Airflow + Kafka,Success,120,00:02:00,100836,100836,12,12,0.8,2026-09-15 17:42:54,
dag_ingestion_tags_raw,Bronze,Airflow + Python,Success,30,00:00:30,3683,3683,6,6,1.5,2026-09-15 17:42:54,
dbt_stg_movies_cleansing,Silver,dbt Core + Postgres,Success,85,00:01:25,9742,9742,15,15,2.0,2026-09-15 17:42:54,
dbt_stg_ratings_dedup,Silver,dbt Core + Postgres,Success,195,00:03:15,100836,100836,20,20,2.1,2026-09-15 17:42:54,
dbt_dim_movie_enrichment,Gold,dbt Core,Success,60,00:01:00,9742,9742,10,10,2.4,2026-09-15 17:42:54,
dbt_fact_ratings_mart,Gold,dbt Core,Success,140,00:02:20,100836,100836,18,18,2.4,2026-09-15 17:42:54,
spark_recommendation_hybrid,Gold / ML,PySpark,Success,310,00:05:10,610,610,14,14,3.0,2026-09-15 17:42:54,
